"","datasetID","forestRemnantID","Attila_spadiceus","Bucco_capensis","Cacicus_cela","Campylopterus_largipennis","Catharus_minimus","Celeus_elegans","Ceratopipra_erythrocephala","Cercomacroides_tyrannina","Certhiasomus_stictolaemus","Chloroceryle_aenea","Chloroceryle_americana","Chloroceryle_inda","Chrysolampis_mosquitus","Chrysuronia_versicolor","Coereba_flaveola","Corapipo_gutturalis","Cyanoloxia_rothschildii","Dacnis_cayana","Deconychura_longicauda","Dendrocincla_fuliginosa","Dendrocolaptes_certhia","Epinecrophylla_gutturalis","Florisuga_mellivora","Formicarius_colma","Frederickena_viridis","Galbula_albirostris","Geotrygon_montana","Glaucidium_hardyi","Glaucis_hirsutus","Glyphorynchus_spirurus","Hemitriccus_zosterops","Henicorhina_leucosticta","Hylexetastes_perrotii","Hypocnemis_cantator","Isleria_guttata","Leptotila_rufaxilla","Leptotila_verreauxi","Leucopternis_melanops","Lipaugus_vociferans","Lophotriccus_galeatus","Manacus_manacus","Maschalethraupis_surinamus","Micrastur_gilvicollis","Microrhopias_quixensis","Mionectes_macconnelli","Mionectes_oleagineus","Momotus_momota","Monasa_atra","Myiarchus_ferox","Myiornis_ecaudatus","Myrmoderus_ferrugineus","Myrmotherula_axillaris","Onychorhynchus_coronatus","Percnostola_rufifrons","Perissocephalus_tricolor","Phaethornis_bourcieri","Phaethornis_ruber","Phaethornis_superciliosus","Pheugopedius_coraya","Philydor_pyrrhodes","Platyrinchus_coronatus","Platyrinchus_saturatus","Pseudopipra_pipra","Pteroglossus_viridis","Ramphocaenus_melanurus","Ramphocelus_carbo","Ramphotrigon_ruficauda","Rhynchocyclus_olivaceus","Rhytipterna_simplex","Saltator_grossus","Schiffornis_turdina","Sclerurus_caudacutus","Selenidera_piperivora","Sporophila_angolensis","Tamatia_tamatia","Terenotriccus_erythrurus","Thalurania_furcata","Thamnomanes_caesius","Thamnophilus_murinus","Thraupis_episcopus","Tolmomyias_poliocephalus","Troglodytes_musculus","Trogon_rufus","Turdus_albicollis","Tyranneutes_virescens","Vireo_olivaceus","Willisornis_poecilinotus","Xiphorhynchus_obsoletus","Xiphorhynchus_pardalotus"
"Abusado","Amarante2026","Abusado",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adeus","Amarante2026","Adeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Andre","Amarante2026","Andre",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Arrepiado","Amarante2026","Arrepiado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Bacaba","Amarante2026","Bacaba",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Beco_do_Catitu","Amarante2026","Beco_do_Catitu",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,10,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,6,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,2
"Cipoal","Amarante2026","Cipoal",2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,17,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
"Coata","Amarante2026","Coata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,3
"Formiga","Amarante2026","Formiga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Furo_de_Santa_Luzia","Amarante2026","Furo_de_Santa_Luzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,1,0,1,0,0,0,11,0,0,0,13,2,1,0,0,1,0,0,1,0,0,2,1,1,1,0,0,2,11,0,2,0,3,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,3,0,1,0,0,4,0,0,3,0,3
