ID,plot,site,area,Ano,Data,t,t_period,Mionectes_macconnelli,Myrmotherula_axillaris,Platyrinchus_platyrhynchos,Pseudopipra_pipra,Glyphorynchus_spirurus,Hypocnemis_cantator,Momotus_momota,Arremon_taciturnus,Bucco_capensis,Campylorhamphus_procurvoides,Galbula_albirostris,Geotrygon_montana,Isleria_guttata,Maschalethraupis_surinamus,Monasa_atra,Percnostola_subcristata,Phaethornis_ruber,Thraupis_palmarum,Trogon_rufus,Xiphorhynchus_pardalotus,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Thalurania_furcata,Turdus_albicollis,Myrmoderus_ferrugineus,Attila_spadiceus,Chloroceryle_aenea,Coereba_flaveola,Chloroceryle_americana,Deconychura_longicauda,Cyphorhinus_arada,Percnostola_rufifrons,Platyrinchus_saturatus,Psophia_crepitans,Schiffornis_turdina,Sclerurus_caudacutus,Willisornis_poecilinotus,Dendroplex_picus,Laniocera_hypopyrra,Micrastur_gilvicollis,Phaethornis_malaris,Formicarius_analis,Formicarius_colma,Lepidothrix_serena,Phaethornis_superciliosus,Pithys_albifrons,Thamnomanes_caesius,Thamnophilus_murinus,Automolus_ochrolaemus,Cyanoloxia_rothschildii,Glaucis_hirsutus,Micrastur_ruficollis,Phaethornis_bourcieri,Philydor_erythrocercum,Terenotriccus_erythrurus,Leptotila_rufaxilla,Attila_bolivianus,Leptotila_verreauxi,Phaethornis_sp.,Sclerurus_rufigularis,Sporophila_angolensis,Myrmotherula_sp.,Ramphotrigon_ruficauda,Glaucidium_hardyi,Turdus_leucomelas,Tyranneutes_virescens,Cercomacroides_laeta,Celeus_elegans,Lipaugus_vociferans,Pteroglossus_viridis,Sclerurus_albigularis,Selenidera_piperivora,Megascops_watsonii,Trogon_viridis,Catharus_fuscescens,Cercomacroides_tyrannina,Xiphorhynchus_obsoletus,Troglodytes_musculus,Chrysuronia_versicolor,Lophotriccus_galeatus,Thamnophilus_punctatus,Ceratopipra_erythrocephala,Dryocopus_lineatus,Heliothryx_auritus,Florisuga_mellivora,Mionectes_oleagineus,Automolus_infuscatus,Certhiasomus_stictolaemus,Epinecrophylla_gutturalis,Henicorhina_leucosticta,Hylophylax_naevius,Myiobius_barbatus,Myrmotherula_menetriesii,Philydor_pyrrhodes,Rhynchocyclus_olivaceus,Thamnomanes_ardesiacus,Xenops_minutus,Campephilus_rubricollis,Manacus_manacus,Saltator_grossus,Myiarchus_tuberculifer,Platyrinchus_coronatus,Pheugopedius_coraya,Conopophaga_aurita,Hylexetastes_perrotii,Campylopterus_largipennis,Onychorhynchus_coronatus,Ramphastos_vitellinus,Rhytipterna_simplex,Cyanerpes_caeruleus,Leucopternis_melanops,Tamatia_tamatia,Ramphocelus_carbo,Ammodramus_aurifrons,Synallaxis_rutilans,Cacicus_cela,Sittasomus_griseicapillus,Neopelma_chrysocephalum,Ammodramus_humeralis,Myiarchus_ferox,Paroaria_gularis,Pitangus_sulphuratus,Sporophila_castaneiventris,Tolmomyias_poliocephalus,Nasica_longirostris,Lophotriccus_vitiosus,Saltator_maximus,Zebrilus_undulatus,Coccycua_minuta,Pyrrhura_picta,Corapipo_gutturalis,Frederickena_viridis,Ramphocaenus_melanurus,Thraupis_episcopus,Hemitriccus_zosterops,Chrysolampis_mosquitus,Vireo_olivaceus,Catharus_minimus,Chloroceryle_inda,Dacnis_cayana,Perissocephalus_tricolor,Microrhopias_quixensis,Myiornis_ecaudatus,Myrmelastes_leucostigma,Myrmotherula_longipennis,Gymnopithys_rufigula,Corythopis_torquatus,Dendrocincla_merula,Mionectes_sp.,Thamnophilidae,Threnetes_leucurus,Lanio_fulvus,Malacoptila_fusca,Sclerurus_macconnelli,Thamnophilus_melanothorax,Myrmornis_torquata,Myrmothera_campanisona,Tunchiornis_ochraceiceps,Tolmomyias_assimilis,Cymbilaimus_lineatus,Jacamerops_aureus,Veniliornis_cassini,Pachyramphus_marginatus
12_2010,12,12,12.64,2010,29/09/2010,22.99,23,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3_2010,17.3,17.3,14.52,2010,11/03/2010,22.44,23,0,4,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190_2011,190,190,168.65,2011,12/04/2011,23.53,23,0,4,0,2,1,1,1,2,1,1,2,1,4,3,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.7_2010,31.7,31.7,27.44,2010,11/02/2010,22.36,23,0,5,0,2,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.7_2010,37.7,37.7,38.11,2010,20/10/2010,23.05,23,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.9_2010,37.9,37.9,34.88,2010,29/09/2010,22.99,23,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.5_2010,39.5,39.5,32.19,2010,11/04/2010,22.53,23,0,4,0,3,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.3_2010,54.3,54.3,49.31,2010,25/09/2010,22.98,23,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abusado_2010,Abusado,Abusado,16.5,2010,11/02/2010,22.36,23,0,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beco_do_Catitu_B_2010,Beco_do_Catitu_B,Beco_do_Catitu,636.32,2010,11/06/2010,22.69,23,1,2,0,6,2,0,3,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,5,1,0,0,0,0,0,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
