site,Amazilia_versicolor,Ammodramus_aurifrons,Ammodramus_humeralis,Arremon_taciturnus,Attila_spadiceus,Automolus_infuscatus,Automolus_ochrolaemus,Bucco_capensis,Bucco_tamatia,Cacicus_cela,Campephilus_rubricollis,Campylopterus_largipennis,Catharus_fuscescens,Celeus_elegans,Ceratopipra_erythrocephala,Cercomacroides_tyrannina,Certhiasomus_stictolaemus,Chloroceryle_aenea,Chloroceryle_americana,Coccycua_minuta,Coereba_flaveola,Conopophaga_aurita,Corythopis_torquatus,Cyanerpes_caeruleus,Cyanoloxia_rothschildii,Cymbilaimus_lineatus,Cyphorhinus_arada,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Dixiphia_pipra,Dryocopus_lineatus,Epinecrophylla_gutturalis,Florisuga_mellivora,Formicarius_analis,Formicarius_colma,Galbula_albirostris,Geotrygon_montana,Glaucidium_hardyi,Glaucis_hirsutus,Glyphorynchus_spirurus,Gymnopithys_rufigula,Heliothryx_auritus,Hemitriccus_zosterops,Henicorhina_leucosticta,Hylexetastes_perrotii,Hylophylax_naevius,Hypocnemis_cantator,Isleria_guttata,Jacamerops_aureus,Lanio_fulvus,Lanio_surinamus,Lepidothrix_serena,Leptotila_rufaxilla,Leucopternis_melanops,Lipaugus_vociferans,Lophotriccus_galeatus,Lophotriccus_vitiosus,Malacoptila_fusca,Manacus_manacus,Micrastur_gilvicollis,Micrastur_ruficollis,Mionectes_macconnelli,Mionectes_oleagineus,Momotus_momota,Monasa_atra,Myiarchus_ferox,Myiarchus_tuberculifer,Myiobius_barbatus,Myrmoderus_ferrugineus,Myrmornis_torquata,Myrmothera_campanisona,Myrmotherula_axillaris,Myrmotherula_longipennis,Myrmotherula_menetriesii,Nasica_longirostris,Neopelma_chrysocephalum,Onychorhynchus_coronatus,Paroaria_gularis,Percnostola_rufifrons,Phaethornis_bourcieri,Phaethornis_ruber,Phaethornis_superciliosus,Pheugopedius_coraya,Philydor_erythrocercum,Philydor_pyrrhodes,Pitangus_sulphuratus,Pithys_albifrons,Platyrinchus_coronatus,Platyrinchus_platyrhynchos,Platyrinchus_saturatus,Pteroglossus_viridis,Pyrrhura_picta,Ramphastos_vitellinus,Ramphocaenus_melanurus,Ramphocelus_carbo,Ramphotrigon_ruficauda,Rhynchocyclus_olivaceus,Rhytipterna_simplex,Saltator_grossus,Saltator_maximus,Schiffornis_turdina,Sclerurus_caudacutus,Sclerurus_macconnelli,Sclerurus_rufigularis,Sittasomus_griseicapillus,Sporophila_angolensis,Sporophila_castaneiventris,Synallaxis_rutilans,Tangara_palmarum,Terenotriccus_erythrurus,Thalurania_furcata,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_melanothorax,Thamnophilus_murinus,Thamnophilus_punctatus,Tolmomyias_assimilis,Tolmomyias_poliocephalus,Troglodytes_musculus,Trogon_rufus,Trogon_viridis,Tunchiornis_ochraceiceps,Turdus_albicollis,Tyranneutes_virescens,Veniliornis_cassini,Willisornis_poecilinotus,Xenops_minutus,Xiphorhynchus_obsoletus,Xiphorhynchus_pardalotus,Zebrilus_undulatus,richness,abundance,area,isolation,edge,categoria
Abusado,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,29,13.3,4773,96,edge
Adeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,26,49.4,85,54,edge
Andre,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2.08,8984,37,edge
Arrepiado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,7.42,12638,64,edge
Bacaba,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,22,52.38,3749,122,interior
Beco_do_Catitu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0,0,1,0,0,3,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,0,0,5,0,27,74,631.85,4090,166,interior
Cafundo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,10,2.62,1933,42,edge
CF_Grid-NS2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,2,10,0,5,0,1,1,10,0,0,0,8,4,0,1,1,0,3,5,4,0,1,0,1,0,0,0,0,0,1,1,1,0,4,2,0,0,0,0,6,1,1,1,7,0,1,0,0,0,0,6,1,1,5,0,0,3,0,14,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,5,3,5,1,4,1,0,0,0,0,0,1,5,0,0,0,1,0,2,0,54,158,16789.6,0,2182,interior
CF_Grid-NS3,0,0,0,1,1,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,5,4,4,0,2,0,0,0,0,0,0,0,11,4,0,0,1,0,1,4,2,0,0,0,0,1,0,0,0,0,1,1,0,0,7,0,1,0,0,1,1,0,1,0,3,7,2,0,0,0,0,2,5,0,7,1,0,3,0,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,8,11,0,2,0,1,0,0,2,0,4,7,0,0,3,4,0,5,0,52,165,16789.6,0,3140,interior
CF_Loreno,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,1,2,0,1,5,0,2,0,1,0,3,0,0,0,7,1,0,0,0,0,0,4,4,1,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,3,2,1,2,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,4,0,3,0,0,0,0,0,0,1,6,0,0,5,1,0,6,0,40,105,16789.6,0,543,interior
