Ilha_Ano,Local,Ano,Data,t,t_period,Celeus_elegans,Myrmotherula_axillaris,Troglodytes_musculus,Chrysuronia_versicolor,Monasa_atra,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Isleria_guttata,Lophotriccus_galeatus,Percnostola_rufifrons,Phaethornis_ruber,Thamnophilus_punctatus,Xiphorhynchus_pardalotus,Cercomacroides_tyrannina,Leptotila_rufaxilla,Ceratopipra_erythrocephala,Maschalethraupis_surinamus,Pseudopipra_pipra,Thalurania_furcata,Dryocopus_lineatus,Heliothryx_auritus,Florisuga_mellivora,Galbula_albirostris,Glyphorynchus_spirurus,Hypocnemis_cantator,Mionectes_macconnelli,Momotus_momota,Phaethornis_superciliosus,Schiffornis_turdina,Sclerurus_rufigularis,Sporophila_angolensis,Thamnophilus_murinus,Trogon_rufus,Turdus_albicollis,Willisornis_poecilinotus,Attila_spadiceus,Mionectes_oleagineus,Automolus_infuscatus,Certhiasomus_stictolaemus,Corythopis_torquatus,Cyanoloxia_rothschildii,Epinecrophylla_gutturalis,Formicarius_analis,Formicarius_colma,Hemitriccus_zosterops,Henicorhina_leucosticta,Hylophylax_naevius,Lanio_fulvus,Malacoptila_fusca,Myiobius_barbatus,Myrmoderus_ferrugineus,Myrmotherula_menetriesii,Philydor_pyrrhodes,Pithys_albifrons,Platyrinchus_saturatus,Rhynchocyclus_olivaceus,Sclerurus_macconnelli,Terenotriccus_erythrurus,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_melanothorax,Xenops_minutus,Campephilus_rubricollis,Gymnopithys_rufigula,Lepidothrix_serena,Manacus_manacus,Micrastur_gilvicollis,Myrmornis_torquata,Myrmothera_campanisona,Phaethornis_bourcieri,Saltator_grossus,Tunchiornis_ochraceiceps,Myiarchus_tuberculifer,Platyrinchus_coronatus,Arremon_taciturnus,Chloroceryle_aenea,Myrmotherula_longipennis,Pheugopedius_coraya,Platyrinchus_platyrhynchos,Sclerurus_caudacutus,Tolmomyias_assimilis,Conopophaga_aurita,Cymbilaimus_lineatus,Cyphorhinus_arada,Jacamerops_aureus,Hylexetastes_perrotii,Ramphocaenus_melanurus,Automolus_ochrolaemus,Bucco_capensis,Geotrygon_montana,Veniliornis_cassini,Campylopterus_largipennis,Onychorhynchus_coronatus,Ramphastos_vitellinus,Rhytipterna_simplex,Catharus_fuscescens,Cyanerpes_caeruleus,Glaucidium_hardyi,Leucopternis_melanops,Tamatia_tamatia,Ramphocelus_carbo,Ammodramus_aurifrons,Coereba_flaveola,Thraupis_palmarum,Ramphotrigon_ruficauda,Philydor_erythrocercum,Glaucis_hirsutus,Synallaxis_rutilans,Xiphorhynchus_obsoletus,Cacicus_cela,Lipaugus_vociferans,Sittasomus_griseicapillus,Neopelma_chrysocephalum,Ammodramus_humeralis,Myiarchus_ferox,Paroaria_gularis,Pitangus_sulphuratus,Sporophila_castaneiventris,Tolmomyias_poliocephalus,Nasica_longirostris,Trogon_viridis,Pteroglossus_viridis,Lophotriccus_vitiosus,Micrastur_ruficollis,Tyranneutes_virescens,Saltator_maximus,Zebrilus_undulatus,Coccycua_minuta,Pyrrhura_picta,Chloroceryle_americana
Abusado_2015,Abusado,2015,08/09/2015,27.94,28,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abusado_2016,Abusado,2016,04/09/2016,28.93,29,0,15,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adeus_2015,Adeus,2015,15/11/2015,28.12,28,0,3,0,0,2,1,2,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adeus_2016,Adeus,2016,14/09/2016,28.95,29,0,3,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre_2015,Andre,2015,19/07/2015,27.8,28,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre_2016,Andre,2016,27/11/2016,29.16,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrepiado_2015,Arrepiado,2015,06/07/2015,27.76,28,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrepiado_2016,Arrepiado,2016,26/11/2016,29.15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacaba_2015,Bacaba,2015,05/07/2015,27.76,28,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacaba_2016,Bacaba,2016,18/11/2016,29.13,29,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beco_do_Catitu_2015,Beco_do_Catitu,2015,09/09/2015,27.94,28,0,5,0,0,1,1,4,3,0,4,1,0,5,0,1,0,0,5,1,0,0,1,2,6,3,3,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
