Ilha_Ano,Local,ilha,Ano,Data,t,t_period,Mionectes_macconnelli,Myrmotherula_axillaris,Platyrinchus_platyrhynchos,Pseudopipra_pipra,Glyphorynchus_spirurus,Hypocnemis_cantator,Momotus_momota,Arremon_taciturnus,Bucco_capensis,Campylorhamphus_procurvoides,Galbula_albirostris,Geotrygon_montana,Isleria_guttata,Maschalethraupis_surinamus,Monasa_atra,Percnostola_subcristata,Phaethornis_ruber,Thraupis_palmarum,Trogon_rufus,Xiphorhynchus_pardalotus,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Thalurania_furcata,Turdus_albicollis,Myrmoderus_ferrugineus,Attila_spadiceus,Chloroceryle_aenea,Coereba_flaveola,Chloroceryle_americana,Deconychura_longicauda,Cyphorhinus_arada,Percnostola_rufifrons,Platyrinchus_saturatus,Psophia_crepitans,Schiffornis_turdina,Sclerurus_caudacutus,Willisornis_poecilinotus,Dendroplex_picus,Laniocera_hypopyrra,Micrastur_gilvicollis,Phaethornis_malaris,Automolus_infuscatus,Formicarius_analis,Formicarius_colma,Lepidothrix_serena,Myiobius_barbatus,Myrmelastes_leucostigma,Myrmotherula_longipennis,Onychorhynchus_coronatus,Phaethornis_superciliosus,Pithys_albifrons,Rhynchocyclus_olivaceus,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_murinus,Automolus_ochrolaemus,Certhiasomus_stictolaemus,Cyanoloxia_rothschildii,Glaucis_hirsutus,Gymnopithys_rufigula,Henicorhina_leucosticta,Micrastur_ruficollis,Phaethornis_bourcieri,Philydor_erythrocercum,Philydor_pyrrhodes,Terenotriccus_erythrurus,Corapipo_gutturalis,Corythopis_torquatus,Dendrocincla_merula,Epinecrophylla_gutturalis,Leptotila_rufaxilla,Mionectes_sp.,Platyrinchus_coronatus,Synallaxis_rutilans,Thamnophilidae,Threnetes_leucurus,Attila_bolivianus,Leptotila_verreauxi,Phaethornis_sp.,Sclerurus_rufigularis,Sporophila_angolensis,Myrmotherula_sp.,Ramphotrigon_ruficauda,Glaucidium_hardyi,Turdus_leucomelas,Tyranneutes_virescens,Cercomacroides_laeta,Celeus_elegans,Lipaugus_vociferans,Pteroglossus_viridis,Sclerurus_albigularis,Selenidera_piperivora,Megascops_watsonii,Trogon_viridis,Catharus_fuscescens,Cercomacroides_tyrannina,Xiphorhynchus_obsoletus
12_2010,12,12,2010,29/09/2010,22.99,23,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3_2010,17.3,17.3,2010,11/03/2010,22.44,23,0,4,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190_2011,190,190,2011,12/04/2011,23.53,23,0,4,0,2,1,1,1,2,1,1,2,1,4,3,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.7_2010,31.7,31.7,2010,11/02/2010,22.36,23,0,5,0,2,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.7_2010,37.7,37.7,2010,20/10/2010,23.05,23,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.9_2010,37.9,37.9,2010,29/09/2010,22.99,23,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.5_2010,39.5,39.5,2010,11/04/2010,22.53,23,0,4,0,3,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.3_2010,54.3,54.3,2010,25/09/2010,22.98,23,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abusado_2010,Abusado,Abusado,2010,11/02/2010,22.36,23,0,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beco_do_catitu_B_2010,Beco_do_catitu_B,Beco_do_catitu,2010,11/06/2010,22.69,23,1,2,0,6,2,0,3,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,5,1,0,0,0,0,0,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
