sites,latitude.WGS84,longitude.WGS84,area
Abusado,-1.76221,-59.67875,10.30154037
Adeus,-1.87378,-59.6624,43.62478401
Andre,-1.58461,-59.87198,3.493565865
Arrepiado,-1.51512,-59.73919,5.822609776
Bacaba,-1.50413,-59.82236,49.44739379
Beco_do_Catitu,-1.73954,-59.705,593.3687254
CF_Grid_NS2,-1.7948,-59.26587,NA
CF_Grid_NS3,-1.79088,-59.25671,NA
CF_Loreno,-1.8349,-59.71799,NA
CF_Tucumari,-1.5766,-59.38594,NA
CF_Waba,-1.42884,-59.90534,NA
Cipoal,-1.6983,-59.78477,207.4640652
Coata,-1.48824,-59.78702,14.87004958
Formiga,-1.83338,-59.42115,1.3
Furo_de_Santa_Luzia,-1.7404,-59.44206,188.1150851
Fuzaca,-1.49238,-59.85987,875.3621958
Garrafa,-1.58859,-59.83555,7.166288954
Gaviao_real,-1.59599,-59.63279,1723.671651
Jabuti,-1.62625,-59.75667,204.6871283
Jiquitaia,-1.83569,-59.59568,5.822609776
Joaninha,-1.52272,-59.82891,0.81
Martelo,-1.66407,-59.71429,445.0265441
Mascote,-1.64884,-59.83285,658.4027977
Moita,-1.55987,-59.89247,97.46152978
Neto,-1.84149,-59.35228,30.99419973
Palhal,-1.79036,-59.4479,20.42392352
Panema,-1.77448,-59.69241,1.612415015
Pe_Torto,-1.76646,-59.36351,4.478930597
Piquia,-1.50647,-59.78897,11.19732649
Pontal,-1.83105,-59.68658,99.70099508
Porto_Seguro,-1.78009,-59.51723,1309.728885
Relogio,-1.68189,-59.65259,64.22786475
Sapupara,-1.69713,-59.61263,70.49836759
Torem,-1.82947,-59.63244,2.32904391
Tristeza,-1.76752,-59.75447,451.4762041
Tucumari,-1.59151,-59.42986,334.486537
Xibe,-1.46889,-59.8363,1.22
