sites,latitude.WGS84,longitude.WGS84,area
Abusado,-1.76221,-59.67875,13.37
Adeus,-1.87378,-59.6624,54.64
Andre,-1.58461,-59.87198,1.7
Arrepiado,-1.51512,-59.73919,7.72
Bacaba,-1.50413,-59.82236,55.98
Beco_do_Catitu,-1.73954,-59.705,653.06
Cafundo,-1.50042,-59.6102,2.33
CF_Grid_NS2,-1.7948,-59.26587,NA
CF_Grid_NS3,-1.79088,-59.25671,NA
CF_Loreno,-1.8349,-59.71799,NA
CF_Tucumari,-1.5766,-59.38594,NA
CF_Waba,-1.42884,-59.90534,NA
Cipoal,-1.6983,-59.78477,225.82
Coata,-1.48824,-59.78702,17.32
Formiga,-1.83338,-59.42115,1.71
Furo_de_Santa_Luzia,-1.7404,-59.44206,194.96
Fuzaca,-1.49238,-59.85987,1027.099777
Garrafa,-1.58859,-59.83555,10.41
Gaviao_real,-1.59599,-59.63279,1816.89
Jabuti,-1.62625,-59.75667,240.27
Jiquitaia,-1.83569,-59.59568,6.73
Joaninha,-1.52272,-59.82891,0.63
Martelo,-1.66407,-59.71429,546.83
Mascote,-1.64884,-59.83285,702.5
Moita,-1.55987,-59.89247,105.6
Neto,-1.84149,-59.35228,34.54
Palhal,-1.79036,-59.4479,23.42
Panema,-1.77448,-59.69241,3.14
Pe_Torto,-1.76646,-59.36351,6.01
Piquia,-1.50647,-59.78897,14.09
Pontal,-1.83105,-59.68658,110.17
Porto_Seguro,-1.78009,-59.51723,1411.99
Relogio,-1.68189,-59.65259,74.56
Sapupara,-1.69713,-59.61263,85.86
Torem,-1.82947,-59.63244,3.5
Tristeza,-1.76752,-59.75447,511.49
Tucumari,-1.59151,-59.42986,359.23
Xibe,-1.46889,-59.8363,0.91
