Local,sites,UTM_longitude,UTM_latitude,X,Y,area
1012,1012,182391.598,9834085.884,-59.85405,-1.4992,989.49
12,12.9,188603.627,9833517.35,-59.79828,-1.50441,12.64
Pontal,126,200857.413,9797176.196,-59.688694,-1.832972,104.1
Piquia,13,189644.714,9833343.393,-59.788934,-1.505994,12.1
14.7,14.7,186278.021,9833647.153,-59.81916,-1.50321,12.01
Abusado,16.5,201943,9805062,-59.8085,-1.76491,16.5
1466,1466,220385.715,9801260.793,-59.51324,-1.79631,1366.95
17.3,17.3,200898.419,9802868.729,-59.68825,-1.781528,14.52
Coata,18.4,189845.053,9835457.859,-59.787111,-1.486889,16.59
Gaviao_real,1815,206783.271,9821607.646,-59.635167,-1.61225,1782.8
190,190,197063.205,9807746.16,-59.72263,-1.7374,168.65
20.7,20.7,235830.252,9801538.11,-59.3745,-1.79399,15.33
Cipoal,213,190510.279,9812413.308,-59.781417,-1.695139,213.84
218,218,228561.813,9806900.837,-59.43973,-1.74543,193.84
25.8,25.8,227682.348,9801831.609,-59.44769,-1.79124,21.97
31.7,31.7,200386.95,9803138.863,-59.69284,-1.77908,27.44
312,312,230111.229,9807939.453,-59.4258,-1.73606,304.4
37.7,37.7,188375.071,9832843.113,-59.80034,-1.5105,38.11
37.9,37.9,188828.149,9832997.519,-59.79627,-1.50911,34.88
39.5,39.5,199821.488,9803782.046,-59.69791,-1.77326,32.19
Panema,4.7,200446.31,9803664.556,-59.6923,-1.77433,2.51
Martelo,475,198545.575,9815452.352,-59.70922,-1.667778,468.92
53.6,53.6,185917.94,9834001.925,-59.822389,-1.5,52.18
54.3,54.3,187815.721,9832965.339,-59.805361,-1.509389,49.31
Beco_do_Catitu,690,199180.592,9808008.577,-59.703611,-1.735056,636.32
Relogio,85,205314.242,9814548.707,-59.648444,-1.676028,71.46
Sapupara,98.6,209548.576,9812166.309,-59.610444,-1.697611,83.83
CF_Loreno,FCA,199526.977,9797475.396,-59.700639,-1.83025,NA
CF_Waba_B,FCB,231112,9807308,-59.659,-1.74007,NA
CF_Waba_C,FCC,183476.21,9839458.348,-59.84425,-1.450667,NA
