species_CBRO_2021,species,diet,band,prnh,prnh_1,prnh_10,biom
Tinamus_major,Tinamus major,f,1,0.1,0,0,500
Tinamus_guttatus,Tinamus guttatus,f,2,0.21,0,0,1000
Crypturellus_variegatus,Crypturellus variegatus,f,8,0.93,0,1.35,3072
Hieraspiza_superciliosa,Accipiter supercilliosus,v,2,0.21,0,0,160
Micrastur_ruficollis,Micrastur ruficollis,v,6,0.82,0,1.35,1202.6
Micrastur_gilvicollis,Micrastur gilvicollis,v,44,5.55,0,4.06,9284
Penelope_jacquacu,Penelope jacuacu,f,1,0.1,0,0,1000
Odontophorus_gujanensis,Odontophorus gujanensis,f,1,0.1,0,0,255
Psophia_crepitans,Psophia crepitans,f,5,0.51,0,0,5000
Patagioenas_subvinacea,Columba subvinacea,f,2,0.21,0,0,256
Geotrygon_montana,Geotrygon montana,f,160,17.37,9.05,23,18000
Megascops_watsonii,Otus watsoni,v,2,0.21,0,5.41,295.2
Glaucidium_minutissimum,Glaucidium minutissimum,v,2,0.21,6.03,2.71,110.5
Phaethornis_superciliosus,Phaethornis superciliosus,n,163,19.02,36.19,23,896.5
Phaethornis_bourcieri,Phaethornis bourcieri,n,171,20.87,12.06,16.23,721.6
Campylopterus_largipennis,Campylopterus largipennis,n,30,3.6,3.02,1.35,256.2
Florisuga_mellivora,Florisuga mellivora,n,13,1.44,0,2.71,79.7
Thalurania_furcata,Thalurania furcata,n,141,14.7,12.06,16.23,566.8
Hylocharis_sapphirina,Hylocharis sapphirina,n,2,0.21,0,0,10
Topaza_pella,Topaza pela,n,5,0.72,0,0,50.5
Heliothryx_auritus,Heliothrys aurita,n,5,0.51,3.02,1.35,25
Trogon_viridis,Trogon viridis,f,0,0,0,0,0
Trogon_rufus,Trogon rufus,f,8,0.82,9.05,1.35,399
Chloroceryle_inda,Chloroceryle inda,p,10,1.23,0,0,511.7
Chloroceryle_aenea,Chloroceryle aenea,p/i,5,0.62,0,0,69.5
Momotus_momota,Momotus momota,v,71,8.94,0,16.23,9573.6
Galbula_albirostris,Galbula albirostris,i,95,12.33,51.27,18.94,1735.7
Jacamerops_aureus,Jacamerops aurea,i,3,0.31,0,0,183.8
Tamatia_tamatia,Bucco tamatia,i,3,0.31,15.08,0,108
Bucco_capensis,Bucco capensis,i,7,0.72,15.08,4.06,378
