Year,Isolation,Island,Transects,S,Rattus_pct,Area_ha
1994,6,2,1,0,100,0.4
1994,6,3,9,1,28,1.4
1994,6,5,14,10,46,12.1
1994,6,6,35,11,38,56.3
1994,6,7,2,3,80,1.9
1994,6,9,12,6,48,10.4
1994,6,16,3,1,94,0.3
1994,6,28,3,1,97,4.7
1994,6,33,3,0,100,1.7
1994,6,39,3,1,75,1
1994,6,40,3,1,93,0.8
1994,6,41,2,2,81,1.1
2013,25,2,2,0,100,0.4
2013,25,3,4,0,100,1.4
2013,25,5,8,2,97,12.1
2013,25,6,16,4,86,56.3
2013,25,7,2,1,95,1.9
2013,25,9,6,0,100,10.4
2013,25,16,2,0,100,0.3
2013,25,28,4,1,92,4.7
2013,25,33,2,0,100,1.7
2013,25,39,2,0,100,1
2013,25,40,2,0,100,0.8
2013,25,41,2,1,93,1.1
2013,25,X1,10,1,98,23.5
2013,25,X2,4,1,76,10.1
2013,25,X3,9,1,98,24.4
2013,25,X4,10,0,100,21.2
2020,33,2,1,0,100,0.4
2020,33,3,1,0,100,1.4
2020,33,5,1,0,100,12.1
2020,33,6,3,0,100,56.3
2020,33,7,1,0,100,1.9
2020,33,9,1,1,57,10.4
2020,33,28,1,0,100,4.7
2020,33,38,1,0,100,1.7
2020,33,39,1,0,100,1
2020,33,40,1,0,100,0.8
2020,33,41,1,0,100,1.1
2020,33,I54,2,0,100,67.5533
2020,33,I59,1,0,100,22.4518
2020,33,I63,1,0,100,7.8719
2020,33,I66,1,0,100,3.8251
2020,33,I80,1,0,100,3.4884
2020,33,I81,1,0,100,14.9323
2020,33,X1,2,0,100,23.5
2020,33,X3,2,0,100,24.4
2020,33,X4,2,1,63,21.2
