year,island,area,transect,Callosciurus_caniceps,Chiropodomys_gliroides,Echinosorex_gymnurus,Maxomys_surifer,Maxomys_whiteheadi,Menetes_berdmorei,Niviventer_cremoriventer,Niviventer_fulvescen,Rattus_tiomanicus,Rhizomys_sumatrensis,Sundamys_muelleri,Tupaia_glis,richness
1992,2,0.4,1,0,0,0,0,0,0,0,0,3,0,0,0,1
1992,3,1.4,1,0,10,0,0,0,0,0,0,2,0,0,0,2
1992,3,1.4,2,0,7,0,0,0,0,0,0,4,0,0,0,2
1992,3,1.4,3,0,15,0,0,0,0,0,0,2,0,0,0,2
1992,5,12.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1992,5,12.1,2,0,0,0,1,0,2,0,0,0,0,0,2,3
1992,5,12.1,3,0,0,0,0,0,0,0,0,0,0,0,2,1
1992,5,12.1,4,1,0,0,1,0,0,0,0,0,0,0,0,2
1992,6,56.3,1,0,5,0,0,0,1,0,0,7,0,0,0,3
1992,6,56.3,2,0,0,0,1,1,0,0,0,2,0,0,0,3
1992,6,56.3,3,0,0,0,3,1,0,2,0,0,0,0,3,4
1992,6,56.3,5,0,4,0,3,1,0,0,0,0,0,0,1,4
1992,6,56.3,6,0,0,0,2,4,1,0,0,0,0,0,0,3
1992,6,56.3,7,0,0,0,0,4,0,0,0,0,0,0,0,1
1992,6,56.3,8,0,1,0,0,1,0,0,0,0,0,2,0,4
1992,6,56.3,9,0,1,0,0,2,0,0,0,0,0,0,1,4
1992,6,56.3,10,0,1,0,1,2,0,0,0,1,0,0,0,4
1992,6,56.3,11,0,0,0,0,1,0,0,0,0,0,0,0,1
1992,6,56.3,12,0,0,0,3,3,0,0,0,0,0,0,1,3
1992,7,1.9,1,0,2,0,0,0,0,0,0,13,0,0,2,3
1992,9,10.4,1,0,0,0,4,0,0,0,0,8,0,1,4,4
1992,9,10.4,2,0,0,0,0,0,1,2,0,7,0,0,6,3
1992,9,10.4,3,1,0,0,3,0,4,0,0,5,0,0,1,5
1992,9,10.4,4,0,1,0,1,0,0,0,0,2,0,0,2,4
1992,16,0.3,1,0,0,0,0,0,2,0,0,4,0,0,0,2
1992,28,4.7,1,0,0,0,0,0,0,0,0,9,0,1,0,2
1992,33,1.7,1,0,0,0,0,0,0,0,2,1,0,0,0,1
1992,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,40,0.8,1,0,0,0,0,1,0,0,0,1,0,0,0,2
