island,area,S_1992,S_1993,S_1994,S_1992_1993,S_1992_1994,S_1992a1994,S_1993_1994,S_2012_2013
2,0.4,1,NA,NA,1,1,1,NA,1
3,1.4,2,2,2,2,2,2,2,1
5,12.1,4,9,6,9,9,10,11,3
6,56.3,8,12,11,12,11,12,12,5
7,1.9,3,3,NA,3,3,4,3,2
9,10.4,8,5,4,8,9,9,6,1
16,0.3,2,1,1,2,2,2,1,1
28,4.7,2,1,1,2,2,2,1,2
33,1.7,2,1,1,2,2,2,1,1
39,1,0,2,1,2,1,2,2,1
40,0.8,2,1,1,2,2,2,1,1
41,1.1,3,3,NA,3,3,3,3,2
X1,23.5,NA,NA,NA,NA,NA,NA,NA,2
X2,10.1,NA,NA,NA,NA,NA,NA,NA,2
X3,24.4,NA,NA,NA,NA,NA,NA,NA,2
X4,21.2,NA,NA,NA,NA,NA,NA,NA,1
